Year,Player,Team,Number
1949-50,Charlie Black,FTW,12
1949-50,Vince Boryla,NYK,12
1949-50,Don Boven,WAT,12
1949-50,Joe Bradley,CHS,12
1949-50,Walt Budko,BLB,12
1949-50,Gene Englund,TRI,12
1949-50,Vern Gardner,PHW,12
1949-50,Arnie Johnson,ROC,12
1949-50,Jack Kerris,TRI,12
1949-50,John Mahnken,TRI,12
1949-50,John Mandic,WSC,12
1949-50,Johnny Orr,STB,12
1949-50,Jack Phelan,SHE,12
1949-50,Howie Schultz,FTW,12
1949-50,Glen Selbo,SHE,12
1949-50,Art Spector,BOS,12
1949-50,Gene Stump,MNL,12
1949-50,Harry Boykoff,WAT,13
1949-50,John Chaney,TRI,13
1949-50,Kleggie Hermsen,CHS,13
1949-50,Tony Jaros,MNL,13
1949-50,Dick O'Keefe,WSC,13
1949-50,Ed Peterson,SYR,13
1949-50,Brady Walker,BOS,13
1949-50,Tommy Byrnes,BLB,14
1949-50,Elmer Gainer,WAT,14
1949-50,Hoot Gibson,WAT,14
1949-50,Bud Grant,MNL,14
