Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
86,Isaiah Canaan\canaais01,SG,25,Chicago Bulls,37,583,8.1,.482,.538,.183,1.1,7.7,4.4,8.7,1.9,0.1,9.4,15.1,,0.0,0.5,0.5,.038,,-2.2,-1.3,-3.6,-0.2
87,Clint Capela\capelca01,C,22,Houston Rockets,62,1474,21.0,.628,.000,.317,12.6,24.7,18.6,6.8,1.1,4.2,11.9,19.8,,3.5,2.1,5.6,.182,,-0.2,1.0,0.8,1.1
88,DeMarre Carroll\carrode01,SF,30,Toronto Raptors,67,1780,12.3,.536,.577,.214,3.9,12.8,8.4,5.8,2.2,1.4,8.0,15.6,,1.8,2.0,3.8,.103,,0.9,0.4,1.3,1.5
89,Vince Carter\cartevi01,SG,40,Memphis Grizzlies,68,1675,11.6,.532,.592,.240,2.3,12.7,7.4,11.3,1.8,1.9,7.9,15.0,,1.7,2.0,3.6,.105,,0.0,1.0,1.1,1.3
90,Michael Carter-Williams\cartemi01,PG,25,Chicago Bulls,40,781,10.3,.452,.214,.267,3.3,17.2,10.1,19.9,2.0,2.1,16.7,21.1,,-0.8,1.0,0.2,.014,,-3.8,1.2,-2.5,-0.1
91,Omri Casspi\casspom01,SF,28,TOT,29,510,10.1,.526,.270,.177,5.0,16.9,11.0,8.7,1.3,0.3,14.1,15.7,,0.0,0.3,0.3,.031,,-2.8,-1.2,-3.9,-0.2
92,Omri Casspi\casspom01,SF,28,Sacramento Kings,22,397,11.4,.511,.248,.179,5.9,20.3,13.1,10.2,1.3,0.2,11.9,16.4,,0.1,0.3,0.4,.042,,-2.5,-1.0,-3.4,-0.1
93,Omri Casspi\casspom01,SF,28,New Orleans Pelicans,1,24,10.0,.667,.444,.000,4.4,4.4,4.4,0.0,0.0,0.0,18.2,20.3,,0.0,0.0,0.0,.018,,-2.5,-5.6,-8.1,0.0
94,Omri Casspi\casspom01,SF,28,Minnesotta Timberwolves,6,89,4.3,.567,.333,.267,1.3,5.3,3.3,4.6,1.7,1.0,26.4,11.3,,-0.1,0.0,0.0,-0.014,,-4.1,-0.9,-5.0,-0.1
95,Willie Cauley-Stein\caulewi01,C,23,Sacramento Kings,70,1283,15.7,.562,.005,.337,6.5,19.4,13.0,9.2,1.9,2.8,12.0,19.2,,1.2,1.3,2.5,.094,,-2.2,0.8,-1.4,0.2
96,Tyson Chandler\chandty01,C,34,Phoenix Suns,47,1298,16.6,.703,.000,.544,12.6,33.3,22.6,3.3,1.2,1.5,19.2,11.3,,2.7,1.3,4.0,.149,,-0.8,0.3,-0.4,0.5
97,Wilson Chandler\chandwi01,SF,29,Denver Nuggets,66,2051,15.2,.543,.338,.203,5.4,17.7,11.5,10.2,1.2,1.1,10.2,22.3,,2.2,1.0,3.2,.075,,0.5,-1.4,-0.9,0.6
98,Marquese Chriss\chrisma01,PF,19,Phoenix Suns,78,1647,12.2,.529,.358,.283,5.9,15.8,10.7,4.9,1.8,3.2,13.2,19.7,,0.3,1.4,1.7,.049,,-1.7,0.0,-1.8,0.1
99,Rakeem Christmas\chrisra01,PF,25,Indiana Pacers,25,217,10.4,.528,.000,.628,13.5,15.3,14.4,2.6,0.7,2.4,12.7,13.0,,0.3,0.2,0.4,.096,,-3.1,-1.1,-4.2,-0.1
100,Semaj Christon\chrisse01,PG,24,Oklahoma City Thunder,58,840,5.5,.378,.270,.148,2.3,7.8,5.0,18.7,1.5,0.6,16.7,12.7,,-0.8,0.7,-0.1,-0.005,,-5.4,-1.3,-6.7,-1.0
101,Ian Clark\clarkia01,SG,25,Golden State Warriors,72,1028,13.9,.591,.378,.140,2.3,9.0,5.8,11.0,1.7,0.5,10.5,19.5,,1.1,1.2,2.3,.109,,-0.1,-1.6,-1.7,0.1
102,Jordan Clarkson\clarkjo01,SG,24,Los Angeles Lakers,77,2250,13.1,.525,.329,.158,2.2,9.0,5.5,14.2,1.9,0.3,12.5,23.3,,0.4,0.5,1.0,.020,,-0.5,-2.4,-2.9,-0.5
103,Norris Cole\coleno01,PG,28,Oklahoma City Thunder,9,68,2.6,.364,.179,.071,0.0,8.1,4.1,21.4,2.2,0.0,19.5,22.4,,-0.2,0.1,-0.2,-0.116,,-9.0,-2.9,-11.9,-0.2
